code,name,latitude,longitude
6255,Boyer / St-Zotique,45.53848,-73.60556
6929,St-André / St-Grégoire,45.53141185,-73.59174863
6158,Gilford / de Brébeuf,45.53081623,-73.58162597
6181,Clark / Rachel,45.5173538,-73.58212888
6910,Boyer / Beaubien,45.537041,-73.602026
6907,Boyer / Rosemont,45.534136,-73.595478
6214,Square St-Louis (du Square St-Louis / Laval),45.5160908,-73.57012868
6118,de Champlain / Ontario,45.52504754,-73.56003553
6150,Messier / du Mont-Royal,45.53711414,-73.5710031
7040,St-Urbain / Beaubien,45.52951034,-73.61067966
6020,Sanguinet / Ontario,45.51472631,-73.56548578
6013,Sanguinet / de Maisonneuve,45.51340554,-73.56259435
6134,Gascon / Rachel,45.537964,-73.562643
6199,St-Viateur / St-Laurent,45.52593073,-73.59883904
6902,Beaudry / Ontario,45.52155597,-73.56226444
6173,Berri / Cherrier,45.51908844,-73.56950909
6260,Dandurand / Papineau,45.53869977,-73.58622193
6169,Boyer / du Mont-Royal,45.52743213,-73.57991673
6901,Gare d'autocars de Montréal (Berri / Ontario),45.51679207,-73.56423855
6142,Calixa-Lavallée / Rachel,45.52779479,-73.57193917
6148,Émile-Duployé / Sherbrooke,45.52729,-73.56463
6179,Duluth / St-Denis,45.52060423,-73.57598394
7037,Prince-Arthur / Ste-Famille,45.51163821,-73.57463479
6206,Prince-Arthur / du Parc,45.51059,-73.57547
7031,Berri / Rachel,45.52287802,-73.57749537
6225,Villeneuve / St-Urbain,45.520188,-73.590559
6180,St-Dominique / René-Lévesque,45.50941837,-73.56135786
6912,Métro Beaubien (de Chateaubriand / Beaubien),45.53535996,-73.60363483
6164,Chambord / Laurier,45.5329939,-73.58441412
6207,Ste-Famille / des Pins,45.51283175,-73.57688785
7025,St-Dominique / Bernard,45.52793332,-73.60122251
6094,de Gaspé / Fairmount,45.525669,-73.593016
6219,de l'Hôtel-de-Ville / Roy,45.5173331,-73.57443631
6258,Parc Père-Marquette (Chambord / Rosemont),45.53702583,-73.59316617
7032,Drolet / Laurier,45.52625188,-73.58975839
7069,Union / du Président-Kennedy,45.50499345,-73.57170314
6314,de Lanaudière / Marie-Anne,45.529219,-73.574777
7066,St-Urbain / de la Gauchetière,45.50707813,-73.56139541
6186,St-André / Laurier,45.52955901,-73.58760189
6243,Bloomfield / Bernard,45.52068774,-73.6084279
6140,Marquette / Rachel,45.52980158,-73.57028961
6224,Villeneuve / du Parc,45.51829,-73.59235
6151,Parthenais / du Mont-Royal,45.53642275,-73.57099771
6281,Resther / St-Joseph,45.5277271,-73.58628362
6168,Marmier / St-Denis,45.53087132,-73.59834552
6203,Hutchison / Sherbrooke,45.50781,-73.57208
6187,Resther / du Mont-Royal,45.52562819,-73.58177483
6008,Sanguinet / Ste-Catherine,45.51279686,-73.56146247
7036,Hutchison / Edouard Charles,45.5182634,-73.59577462
6235,St-Dominique / St-Viateur,45.526557,-73.59827578
6130,Sherbrooke / Frontenac,45.5367,-73.56081
6149,Chapleau / du Mont-Royal,45.53867,-73.56936
6192,Berri / St-Grégoire,45.529802,-73.591766
6116,Plessis / Ontario,45.52349211,-73.56073022
6906,Métro Rosemont (Rosemont / de St-Vallier),45.5313272,-73.5978882
7024,Berri / Gilford,45.52656587,-73.585428
6079,Hutchison / Prince-Arthur,45.509864,-73.576105
6201,Villeneuve / de l'Hôtel-de-Ville,45.5235442,-73.58733237
6175,St-André / Cherrier,45.52045847,-73.56757522
6234,Bernard / Clark,45.52697,-73.60261
6165,de Brébeuf / Laurier,45.53259234,-73.58519465
7074,St-André / Robin,45.51812809,-73.56185138
6018,St-André / Ontario,45.51889,-73.56353
6066,McTavish / des Pins,45.5053055,-73.58100235
6215,St-Cuthbert / St-Urbain,45.51482122,-73.57829601
6166,de Brébeuf / St-Grégoire,45.5341,-73.58852
6229,Coloniale / du Mont-Royal,45.52116132,-73.58561575
6051,de Gaspé / Marmier,45.529686,-73.601728
6903,St-Dominique / Napoléon,45.51677946,-73.57740283
7038,Guilbault / Clark,45.51410795,-73.57523024
6161,Chabot / St-Joseph,45.53627298,-73.57819676
6170,de Mentana / Laurier,45.53045007,-73.58763814
6271,Casgrain / de Bellechasse,45.52993552,-73.60409617
6915,Alma / Beaubien,45.53243586,-73.606655
6208,Hutchison / des Pins,45.51069,-73.57805
6017,du Square Ahmerst / Wolfe,45.52101474,-73.56374502
6204,Milton / Durocher,45.5081439,-73.57477158
6222,de l'Esplanade / du Mont-Royal,45.51825291,-73.5883382
7067,City Councillors / du President-Kennedy,45.50625103,-73.57139066
6301,Parc Outremont (Bloomfield / Elmwood),45.51830945,-73.60328615
7035,Fullum / Gilford,45.53922374,-73.5738368
6090,Place Émilie-Gamelin (St-Hubert / de Maisonneuve),45.51585828,-73.55989069
6146,de Brébeuf / Rachel,45.52707992,-73.57327759
6205,Milton / du Parc,45.50971,-73.57354
6167,Marquette / St-Grégoire,45.53703,-73.58584
6171,Wolfe / Robin,45.51958083,-73.56011599
6178,Rivard / Rachel,45.5222776,-73.5775906
6918,Marquette / des Carrières,45.53876952,-73.58867884
6236,Laurier / de Bordeaux,45.5372588,-73.57917041
6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429
6913,Drolet / Beaubien,45.533348,-73.605834
6265,Parthenais / Laurier,45.53925853,-73.57745916
7072,Beaudry / Sherbrooke,45.52303493,-73.56539458
6311,Drolet / St-Zotique,45.53488214,-73.60941231
6249,Bélanger / St-Denis,45.53696,-73.61199
6257,de St-Vallier / St-Zotique,45.53626118,-73.6075455
6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527
6081,St-Alexandre / Ste-Catherine,45.50531355,-73.56755376
6145,St-Hubert / Roy,45.52105068,-73.57113719
6385,de Bordeaux / Gilford,45.53611005,-73.57628703
6024,Parthenais / Sherbrooke,45.5324031,-73.56236637
7022,Durocher / Bernard,45.5223176,-73.60693127
6421,Cartier / Rosemont,45.54124722,-73.59104455
6075,University / des Pins,45.50798917,-73.57981682
6035,Viger / Chenneville,45.50531167,-73.56089115
6302,Stuart / de la Côte-Ste-Catherine,45.51563409,-73.60671133
6183,Laval / du Mont-Royal,45.52236458,-73.5841459
6021,de l'Hôtel-de-Ville / Sherbrooke,45.51456467,-73.5684067
4002,Métro Place-des-Arts (de Maisonneuve / de Bleury),45.50619396,-73.56996775
6162,Fullum / St-Joseph,45.5398326,-73.57555881
6003,Clark / Evans,45.51100667,-73.56760204
6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871
6019,Métro Sherbrooke (de Rigaud / Berri),45.51799894,-73.56818408
6136,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147
6133,Terrasse Mercure / Fullum,45.53569003,-73.56592298
6078,de Bleury / Mayor,45.50677517,-73.56774151
6034,St-Urbain / René-Lévesque,45.50797476,-73.56307179
6228,Waverly / Van Horne,45.527363,-73.607723
6212,de l'Esplanade / Duluth,45.51528827,-73.58124912
6359,Ste-Catherine / Clark,45.50956874,-73.56413662
6139,Boucherville,45.53290747,-73.56377721
